Company,ShoeURL,ShoeName,colorSize,TotalScore,TotalReviews,Discontinued,Terrain,Arch,Use,Price,Discount,ShoeWeight,ToeDrop,FootHeight,ReleaseDate,GoodSummary,BadSummary,Summary,RatingsText,USARanking,FiveStars,FourStars,ThreeStars,TwoStars,OneStars,ProdInfo,SizenFit,OuterSole,UpperSole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,https://runrepeat.com/brooks-ariel-16,Brooks Ariel 16,3,86,67,N,Road,Motion control,,$160 ,$118 | 26%,,,,,"Most reviewers loved the amazing comfort of the Ariel 16.;A good number of runners appreciated the roomy toe box.;It is very durable, according to several.;The traction is superb on wet surfaces, based on some comments.;It cushions well, noted a handful.;The 2016 Ariel is offered in extra widths.;More than a few mentioned that it is quite responsive.;The arch support and stability features are exceptional.;Different kinds of orthotics can easily fit inside the shoe.;A significant number of runners suffering from foot, knee, or back pains expressed boundless happiness that they can walk or run without any sort of pain or at least feel only minimal discomfort.;A good number of people who are on their feet most of the time during work loved the cushioning and support from the 2016 Ariel.;","It runs a bit small.;Only 1 color available.;Fans of this line observed it is a bit stiffer than before.;A few took some time to break in their shoes.;It is expensive.;Early signs of wear and tear showed on the upper, according to a handful of runners.;","The Brooks Ariel 16 is an extremely supportive and stable running shoe for the women’s. Besides the exceptional motion control features, this shoe is well-cushioned and offers loads of comfort. This is a versatile shoe that excels as a durable training partner and a supportive everyday footwear.It runs a bit small.;Only 1 color available.;Fans of this line observed it is a bit stiffer than before.;A few took some time to break in their shoes.;It is expensive.;Early signs of wear and tear showed on the upper, according to a handful of runners.;",4.1 / 5 based on 67 ratings,"How popular is Brooks Ariel 16 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #241 most popular running shoes.",54%,22%,12%,3%,7%,"The upper and the outsole get the bulk of the changes in the Ariel 16. This no-sew construction gives a better wraparound feel and delivers foot-hugging support. There should be less chance for irritation or hot spots while saving weight at the same time.;The security in the heel is improved with the introduction of a new heel counter. With this added feature, the heel is securely locked from extraneous movements.;Brooks ramps up the luxurious ride of the Ariel 16 by using a slightly more padded ankle collar. As it is lined with plush and moisture-wicking lining, comfort should be better in this latest version of the Ariel.;The outsole gets a serious makeover in this shoe. From small and triangular rubber pods in the forefoot, the outsole now uses square pods that fill almost the entire underfoot. Better ground contact and stability go up a notch with this development.;From that huge heel to midfoot cut, there is now a substantially small and thinner cut. It gives the shoe a firmer, more responsive ride.;","Right off the bat, Brooks informs fans of the line that the 2016 Ariel is a bit smaller than before, so going up in size is a sensible thing to do. The roomy toe box should be a balm for those who need more than enough room in this area. Both the heel and the midfoot are securely locked down because of the external heel counter and external saddle.","Carpeting the entire outsole of the Ariel 16 are square pods of moderate size. These add to the shoe’s grip on a variety of surfaces. The outsole is very well articulated, particularly in the forefoot where the deep Omega Flex Grooves are found. They add flexibility to a very well-cushioned and stable shoe. Brooks uses what it calls the HPR Green in the forefoot for its enhanced traction on wet surfaces. A more durable type of this rubber is located in the heel and other critical areas for a long-lasting performance.","More than just having a very plush feel, the upper thrives on moisture-wicking features to make the ride as comfortable as possible in the Ariel 16. The Elemental Mesh and the fabric lining the interior both have these features. There are synthetic overlays and an external saddle that secure and support the foot really well. Add these to the external heel counter, and runners get maximum support every step of the way. A removable sockliner enhances cushioning, support, and luxurious feel in the shoe."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Balance,https://runrepeat.com/new-balance-fresh-foam-gobi-trail,New Balance Fresh Foam Gobi Trail,1,86,35,N,Trail,Neutral,Daily running,$95 ,$50 | 47%,8,6,20,,"A lightweight and supportive fit is provided by an engineered upper that has a no-sew process.;Runners appreciated the inclusion of the Toe Protect™, a rubber compound that protects the forefoot from debris and surface contact.;The modern design of this shoe allows the runner to wear it for trainings, as well as for casual purposes.;The upper coverage of the Fresh Foam Gobi Trail is essentially irritation-free, allowing sockless wearing experiences.;A comfortable and natural ride is provided by the Fresh Foam, a lightweight sole unit.;The outsole unit uses a design that allows it to function well on both the roads and the trails;","A few runners thought that the New Balance Fresh Foam Gobi Trail wasn’t as aggressive on the trails because it features some thin components and features.;A few noted that it didn’t have a shielding mechanism that works against water infiltration, which is helpful when tackling the unpredictable trail conditions.;","Trails and roads aren’t going to be a problem for runners when they have the New Balance Fresh Foam Gobi Trail with them. This neutral running shoe was created to be versatile when it comes to its functionality and purpose, so it becomes truly helpful for road-and-trail adventurers and athletes.A few runners thought that the New Balance Fresh Foam Gobi Trail wasn’t as aggressive on the trails because it features some thin components and features.;A few noted that it didn’t have a shielding mechanism that works against water infiltration, which is helpful when tackling the unpredictable trail conditions.;",4.3 / 5 based on 35 ratings,"How popular is New Balance Fresh Foam Gobi Trail in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #178 most popular running shoes.",60%,23%,9%,3%,3%,"Comfort, protection and great performance on both the roads and the trails; that’s what the New Balance Fresh Foam Gobi Trail is all about. This running shoe utilizes lightweight but efficient components and technologies in order to keep the wearer running at a steady pace and in an unrestricted manner. It’s a reliable shoe for many activities.;The upper unit makes use of a no-sew construction that’s helpful when it comes to keeping the foot comfortable and free from irritation. The fabrics are able to wrap around the foot with ease, making sure that the fit is as snug but unrestricting as possible. Protection from debris and accidental surface contact is also afforded to the wearer.;The mid-sole of the Fresh Foam Gobi Trail is lightweight and responsive. Made from a single-piece foam, this layer is able to cushion the foot well, keeping it safe from impact forces with every step. It doesn’t have a stiff nature; so natural movement is given with ease.;A durable outsole tread is used in this shoe and it’s crafted to be able to function well on both the roads and the trails. Whether the surface is flat or uneven, this layer is going to protect the rest of the sole unit from wear and tear. Traction is also reliable with this shoe.;","The New Balance Fresh Foam Gobi Trail has a standard running shoe length. It comes in sizes that adhere to the regular measurements for men and women. The available widths are medium and wide, so runners are going to have a versatile choice depending on their personal preferences. Its semi-curved shape follows the natural curvature of the human foot.",The AT TREAD is a rugged outsole unit that’s made from highly durable rubber. It is able to stay resilient against the rough nature of the terrains. Traction is afforded to the runner because of its sticky disposition.,"The Fantom Fit is an engineered material that provides a comfortable fit. It only uses two thin fabrics, and it doesn’t use stitching. The runner is going to be wrapped comfortably by a non-irritating cover system."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Balance,https://runrepeat.com/new-balance-fresh-foam-1080-v7,New Balance Fresh Foam 1080 v7,7,86,44,N,Road,Neutral,Daily running,$150 ,$140 | 7%,9,8,20,,"A tester commented that her feet felt great while wearing the New Balance Fresh Foam 1080 v7.;Natural toe-splay is accommodated thanks to the wide toe box, noted a consumer.;This shoe felt true-to-size, some users stated.;Wearing this shoe all day didn’t cause any discomfort, according to several reviewers.;The shock absorbing capability of the mid-sole gained recognition for being efficient.;A user commented that the underfoot platform had a bouncy disposition, which energized each step through the gait cycle.;Many runners described the 1080 v7 as comfortable.;The aesthetics of this shoe received positive feedback from consumers who liked how it looked.;The outsole worked well for those who were particular about the traction-capability of their pair of running shoes.;","A few runners observed that the coverage was a bit narrow, causing some tightness to be felt.;A purchaser reported that the sole unit had broken down after only 5 weeks of use.;","The New Balance Fresh Foam 1080 v7 had many supporters. Runners who wanted an efficient, neutral shoe apparently received it in the form of this update. They welcomed its color schemes, its responsive underfoot platform, and its general performance. On the other hand, there were complaints about sizing, as well as a gripe about the durability of its sole unit.A few runners observed that the coverage was a bit narrow, causing some tightness to be felt.;A purchaser reported that the sole unit had broken down after only 5 weeks of use.;",4.5 / 5 based on 44 ratings,"How popular is New Balance Fresh Foam 1080 v7 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #79 most popular running shoes.",77%,9%,2%,5%,5%,"The New Balance Fresh Foam 1080 v7 is a neutral road running shoe for those who want quality cushioning to keep them comfortable throughout the day. The fundamentals of what made the 6th version very popular among road runners are retained in this model, basically offering a familiar experience that’s already considered great.;The most significant change in this running shoe is in the upper unit. In this iteration, the engineered mesh now extends to the back, making the coverage much more breathable than before. The fabric also looks to be constructed in a tighter and more robust fashion, potentially wielding heightened durability. The stitched overlays still grace the façade, delivering snugness and extra security to the foot.;The Fresh Foam is the technology that drives the underfoot experience offered by the New Balance Fresh Foam 1080 v7. It gives off plush cushioning for a comfortable running output. A removable insole adds a bit more cushioning, as well.;The outsole features two rubber compounds. They work together in order to provide traction and protection. One of these has a responsive disposition, so it’s actually able to add a bit more cushioning, while also keeping the flexibility of the forefoot section of the platform. Flex grooves further improve flexibility.;","The New Balance Fresh Foam 1080 v7 has a standard running shoe length. It comes in sizes that adhere to the preferences of runners. The available widths for men are Narrow – B, Medium – D, Wide – 2E and Extra Wide – 4E; the women’s widths are Narrow – 2A, Medium – B, Wide – D and Extra Wide – 2E. The semi-curved shape of this shoe accommodates the natural curvature of the human foot.","Blown rubber is a durable material that has a responsive disposition. On top of its capability to deliver traction, it also adds a bit more cushioning and it keeps the platform flexible. The Ndurance carbon rubber is placed in the rear section of the outsole. This highly durable material protects the rear and lateral sections of the sole unit, particularly since those are the areas that are mostly exposed to impact shock and abrasion. Flex grooves are added to the forefoot area. They make the platform more flexible and agreeable to the natural movement of the foot.","Engineered mesh is a material that evokes the look of cloth. Compared to the one used for the previous version of the 1080, this material has a more robust construction, thus heightening durability. It’s still breathable and flexible. The Fantom Fit is made up of two materials that have been put together through a process that didn’t require stitching. This system essentially makes the runner feel like wearing a second skin. It’s soft and smooth, so it won’t cause any irritation or discomfort. The Asymmetrical Heel Counter holds the heel in place and prevents the foot from collapsing as it takes each step. The Bootie Construction makes the interior cover system irritant-free. With this, runners are given the opportunity to wear the shoe without socks."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Balance,https://runrepeat.com/new-balance-fresh-foam-boracay-v3,New Balance Fresh Foam Boracay v3,4,86,31,N,Road,Neutral,Daily running,$120 ,$70 | 42%,8,4,20,,"Several runners commented that their feet felt great wearing the New Balance Fresh Foam Boracay v3.;Many consumers welcomed the appealing design and color schemes of this shoe.;The testers generally appreciated this product’s lightweight nature.;The upper unit was able to fit snugly and securely, according to a number of runners.;The seamless construction of the upper gained positive feedback because it prevented skin irritation.;A lot of testers were delighted to find out that the cushioning system of this shoe was responsive and comfortable.;One reviewer commented that the Boracay v3 was constructed to be perfect for any running activity, even the marathon.;The forefoot area was roomy enough to welcome natural toe-splay, noted several consumers.;The general durability of this model was lauded by those who have tried it; they stated that its components lasted long.;","It was half-a-size smaller than what some testers were used to.;The top section of the collar tended to rub uncomfortably against the ankle of a runner, causing some irritation.;According to a consumer, the platform was a bit stiffer than the original Boracay, which affected natural movement.;","Many runners were in agreement when they welcomed the arrival of the New Balance Fresh Foam Boracay v3. This neutral road shoe gained a following of positive consumers who thought that it’s a reliable upgrade to the popular series. For them, the components and features felt efficient and dependable. Conversely, there were some testers who noticed some missteps in terms of construction and design.It was half-a-size smaller than what some testers were used to.;The top section of the collar tended to rub uncomfortably against the ankle of a runner, causing some irritation.;According to a consumer, the platform was a bit stiffer than the original Boracay, which affected natural movement.;",4.4 / 5 based on 31 ratings,"How popular is New Balance Fresh Foam Boracay v3 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #368 most popular running shoes.",55%,19%,13%,0%,0%,"The New Balance Fresh Foam Boracay v3 is a road running shoe that’s created for those who have a neutral gait when taking each step. It features a no-sew upper construction, which significantly staves of that bulky look that’s predominant in overlay-riddled footwear. A set of hexagonal prints pockmark the upper, giving the shoe more structure while also securing the foot in a snug wrap.;The mid-sole platform of this running shoe is very straightforward in design. It goes across the entire length of the shoe, making sure to cushion the foot at all times. But the proprietary technology used here is responsive, supportive and long-lasting. A bit more underfoot cushioning is also given by the added sock liner.;The outsole unit of the New Balance Fresh Foam Boracay v3 utilizes blown rubber. This material is able to provide reliable traction throughout the running session. But it’s also able to deliver additional cushioning to the runner because it has a semi-soft and flexible disposition. It’s still durable, so it won’t wear off easily. Flex grooves make the external section more agreeable to the natural movements of the foot.;",The New Balance Fresh Foam Boracay v3 has a standard running shoe length. The sizing scheme basically follows the regular preferences of runners. The available widths for both the men and women’s versions are Medium and Wide. It accommodates a variety of foot-types. The semi-curved shape of this shoe follows the natural curve of the human foot.,"The outsole unit of the New Balance Fresh Foam Boracay v3 makes use of blown rubber. This material is durable and it is able to shield the rest of the mid-sole from wear and tear. It also provides traction, which is important for the running session.","Open Mesh is the main material used for the upper unit of the New Balance Fresh Foam Boracay v3. This lightweight material has an open construction, which means that it is able to accommodate airflow into the foot-chamber. It doesn’t tear apart easily, as well."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Sportiva,https://runrepeat.com/la-sportiva-helios-2-0,La Sportiva Helios 2.0,2,86,39,N,Trail,Neutral,Competition,0,0,7,4,11,,Many runners appreciate the lacing system of the Helios 2.0.;This version delivers more cushioning as compared to the original version.;Some applauded the overall design of the shoe.;The HyDrain upper mesh is effective in delivering a moisture-free coverage as mentioned in some reviews.;,Some runners mentioned that the upper is not breathable enough to keep the foot cool especially on warm conditions.;The outsole wears out quickly than expected.;,The La Sportiva Helios 2.0 is a reliable trail shoe that is equipped with the necessary technologies to survive the toughest terrain. It has plenty of cushioning and reliable traction for varied surfaces. This shoe is also best for uptempo training.Some runners mentioned that the upper is not breathable enough to keep the foot cool especially on warm conditions.;The outsole wears out quickly than expected.;,4.3 / 5 based on 39 ratings,"How popular is La Sportiva Helios 2.0 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #773 most popular running shoes.",67%,13%,10%,5%,5%,"The La Sportiva Helios 2.0 comes with an enhanced upper built. First, it comes with a fast lacing system. The harness lacing provides an easy on and easy off for running efficiency.;It also comes with a HyDrain mesh upper that gives a fast water draining capacity, keeping the foot moisture-free. This fast draining material does not affect the breathability and overall weight of the shoe.;The Helios 2.0 features an integrated gusseted tongue. It keeps debris out while running on the trail. It also comes with a new heel cup that is strategically designed to deliver a soft feel.;",The Helios 2.0 is available in standard running shoe length just like the previous version. It delivers a medium fit in the heel and midfoot area. The forefoot has a medium measurement with enough room for toe splay. La Sportiva is offering this shoe in standard medium and wide widths.,"The outer sole of the Helios 2.0 is made up of FriXion AT, sticky rubber compound that delivers reliable traction on different surfaces. This outsole compound is also durable that withstands the damaging elements of the trail.",The upper of the La Sportiva Helios 2.0 uses the HyDrain nylon mesh that delivers a moisture-free upper coverage while preventing debris from entering the shoe while running on the trail. The Wicking EVA air mesh keeps the foot well ventilated. It also comes with a lacing harness that also provides a snug midsole and more secure fit.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-gsg9-trail,Adidas GSG9 Trail,3,86,58,N,Trail,Neutral,Daily running,$80 ,$54 | 32%,10,8,17,,"The Adidas GSG9 Trail remained true to size, a majority of the runners said.;The aggressive grip of the outsole prevented slippage, most of the users noted.;Many customers reported about the tough and the supportive insole of the shoe, which kept their feet protected from the uneven terrains.;Some purchasers felt like ‘stepping on clouds’ due to its lightweight nature.;A handful of buyers liked the style and the color schemes available for this shoe.;Another tester considered it suitable for active hiking and jogging on uneven ground.;",Some runners complained about the tightness of the internal structure of this shoe.;A few customers doubted that the shoe is not durable enough to last long.;,"The Adidas GSG9 Trail is a comfortable, firm shoe that provides a strong grip on uneven surfaces. It is a lightweight, neutral running shoe that provides protection to the runner while tackling the great outdoors. It comes in attractive color schemes and runners generally appreciated them.Some runners complained about the tightness of the internal structure of this shoe.;A few customers doubted that the shoe is not durable enough to last long.;",4.3 / 5 based on 58 ratings,"How popular is Adidas GSG9 Trail in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #920 most popular running shoes.",62%,16%,14%,5%,3%,"The Adidas GSG9 Trail incorporates TRAXION ®, a durable rubber material that’s meant to deliver traction and protection against wear and tear. It also aims for excellent ground contact while the foot experiences an even distribution of impact-pressure. The design works by clamping onto the ground to provide maximum traction. This avoids unnecessary slippage and keeps the runner’s foot secure on wet and dry surfaces.;","The shoe is specially designed for trail running. It accommodates the runners who have medium sized feet. The shoe is the available width is medium or B and D for men and women, respectively.","The Adidas GSG9 Trail uses a flexible, lightweight rubber on its outsole. It is also resilient and durable. It is also responsible for traction, which is important when it comes to controlling the movements on the surfaces.","The upper has a breathable mesh material that allows the air to go in the shoe to keep the foot cool and dry. It covers the foot securely, as well."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuno,https://runrepeat.com/mizuno-wave-rider-20-gtx,Mizuno Wave Rider 20 GTX,2,85,10,N,Road,Neutral,,$150 ,$110 | 27%,,,,,"Several testers appreciated the colorful design of the Mizuno Wave Rider 20 GTX.;The upper and mid-sole components were lauded by some consumers for being comfortable.;The toe box was roomy enough to welcome the natural spreading of the toes, noted a reviewer.;The heel collar gained some fans for its ability to keep the foot in place.;The waterproof Gore-Tex® membrane was appreciated by many because it remained breathable even as it staved off the water.;Runners relayed that the grip capability of the outsole unit was dependable.;The overall performance of the Rider 20 GTX received positive recognition from shoe enthusiasts.;","There’s an extra piece of fabric in the tongue area that rubbed uncomfortably against the skin of a tester.;The water refused to drain out of the shoe whenever it entered the foot-chamber, a disgruntled purchaser complained.;The upper unit felt bulky, a consumer observed.;","The Mizuno Wave Rider 20 GTX was loved by many for being a neutral running shoe that’s great for the rainy season or for generally wet conditions. They were mostly impressed with the inclusion of the waterproof Gore-Tex® membrane, which staved off water efficiently. They also lauded its efficiency as a shoe for active lifestyles. Conversely, there were complaints about some of its features, which apparently caused some grievances.There’s an extra piece of fabric in the tongue area that rubbed uncomfortably against the skin of a tester.;The water refused to drain out of the shoe whenever it entered the foot-chamber, a disgruntled purchaser complained.;The upper unit felt bulky, a consumer observed.;",4.9 / 5 based on 10 ratings,"How popular is Mizuno Wave Rider 20 GTX in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #579 most popular running shoes.",80%,10%,0%,0%,0%,"The Mizuno Wave Rider 20 GTX is a road running shoe that’s meant for runners who have neutral pronation. It’s essentially the version of the Rider 20 that features the Gore-Tex® membrane, a material that shields the shoe and the foot from water infiltration.;The façade of this shoe actually has a straightforward look, which isn’t immediately different from the non-waterproof version. The determinant for the presence of the waterproof feature is actually a tag that says ‘Gore-Tex®’. The upper is still breathable because the added technology doesn’t limit the flow of air into the foot-chamber.;Proprietary technologies were used in the mid-sole unit of the Wave Rider 20 GTX. Lightweight yet responsive foam systems provide cushioning to the foot throughout the running session. A Wave Plate adds a springy feeling with each step. Flexibility is also encouraged via a network of grooves that line the external side of the platform.;High-quality rubber compounds are used for the outsole unit of this running shoe. They work in tandem in order to provide traction and protection to the runner. One of these compounds is even soft and responsive enough that it contributes a little bit of cushioning.;","The Mizuno Wave Rider 20 GTX has a regular running shoe sizing scheme, so it follows the preferences of runners. The available width is medium. It accommodates those who have medium sized feet. The natural curve of the human foot is mimicked by this shoe’s semi-curved shape.","X10 is a durable layer that’s made from carbon rubber. Placed liberally in the rear section of the outsole, it dutifully shields the platform from abrasion and wear. It also provides traction.",Breathable mesh is used for the upper unit of the Mizuno Wave Rider 20 GTX. It responsibly covers the foot while accommodating airflow for a well-ventilated running experience.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saucony,https://runrepeat.com/saucony-propel-vista,Saucony Propel Vista,2,85,191,N,Road,Neutral,Daily running,$80 ,$70 | 13%,8,8,18,,"The majority of runners preferred Saucony Propel Vista for long distance runs due to its sufficient amount of cushioning.;Many users observed that the shoe adjusted itself according to their feet, providing a snug fit during their run.;Most of its wearers appreciated its lightweight nature since it evoked a feeling of wearing gloves on their feet.;Some customers were happy because the shoe accommodated their flat feet very well.;A handful of buyers liked the vibrant colors available in this shoe; they wore it as a part of their daily clothing.;Some users were happy with the attached tongue at the top since it made the shoe easy to wear.;Several buyers were happy with the apparently reasonable price of Saucony Propel Vista.;A runner was happy with its firm grip on snow during winter season.;",A few customers complained about the responsiveness of this running shoe since it did not absorb enough shock and caused them to feel pain in their knees.;Some users were unhappy about the absence of arch support in the Saucony Propel Vista.;A runner declared the toe-box to be narrow and returned it.;,"Many runners enjoyed the Saucony Propel Vista because of its adequate cushioning and comfort. The shoe is lightweight, it adjusts accordingly to the runner’s foot, and it gives a snug fit. Its regular underfoot platform design makes it suitable for people who have medium arches. Moreover, it comes in bright colors that make it a suitable option for everyday use.A few customers complained about the responsiveness of this running shoe since it did not absorb enough shock and caused them to feel pain in their knees.;Some users were unhappy about the absence of arch support in the Saucony Propel Vista.;A runner declared the toe-box to be narrow and returned it.;",4.3 / 5 based on 191 ratings,"How popular is Saucony Propel Vista in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #922 most popular running shoes.",58%,26%,8%,4%,4%,"The shoe utilizes IMEVA in its midsole. It is a flexible and durable material that absorbs shock and enhances the cushioning of the shoe.;The outsole is made of XT-600™ carbon rubber, a material known for its flexibility and lightweight. It not only provides extraordinary traction, but also ensures the lasting durability of the shoe.;;",Standard measurements were used in the making of the Saucony Propel Vista. It accommodates the regular preferences of runners in terms of size. The available width is medium and that applies to both the men and women’s versions.,"Saucony uses XT-600™ carbon rubber in its outsole, which is a non-abrasive, stretchy and long- lasting material. It provides exceptional grip on the ground and allows a soft landing.","The upper of the shoe utilizes a breathable mesh fabric, which is supported by synthetic overlays to ensure the durability of the top construct, as well as air ventilation for a cool and dry environment."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,https://runrepeat.com/brooks-hyperion,Brooks Hyperion,4,85,97,N,Road,Neutral,Competition,$130 ,$91 | 30%,5,10,17,,"The upper unit of this running shoe features a stretchable fabric that’s also very breathable.;The sock liner that’s included here isn’t very thick, but it adds more cushioning to the immediate underfoot.;The upper unit is stitched to the full length cushioning insole board called the Cushsole S-257, and they work together in order to provide a flexible and comfortable running experience.;The mid-sole foam has been tuned to follow the needs of the wearer, even conforming to the shape, movement and weight of the foot.;Flex grooves enhance the mid-sole unit’s capability to move naturally with the foot.;Runners appreciated the propulsion pods on the outsole, which propel the foot forward during the toe off phase.;The Brooks Hyperion is very lightweight.;",A few runners thought that this shoe’s platform needed more stability mechanics in order to provide support to those who need it.;,The Brooks Hyperion is a versatile running shoe that’s meant to function well on races and on regular running sessions. Its durable construction and flexible design allow it to deliver natural movement and responsive cushioning that lasts. Neutral runners are going to enjoy what this one has to offer.A few runners thought that this shoe’s platform needed more stability mechanics in order to provide support to those who need it.;,4.1 / 5 based on 97 ratings,"How popular is Brooks Hyperion in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #332 most popular running shoes.",51%,22%,13%,8%,5%,"Performance and comfort are part of the service of the Brooks Hyperion. Responsive cushioning and flexibility are achieved because of a bendable platform and soft upper fabrics. Even the outsole lends itself to the performance of the runner because it’s tuned to be springy, especially during the toe-off phase. It’s a reliable shoe for any activity.;The upper unit of this running shoe utilizes fabrics that are very breathable. Air is permitted to enter constantly in the shoe in order to keep the foot cool and dry. A seamless design allows the foot to be free from irritation, essentially making sockless wearing more agreeable to the runner.;The mid-sole unit uses a mix of two technologies that are very efficient in delivering a resilient but comfortable underfoot experience to the wearer. The foam itself follows the shape of the wearer’s foot when standing on it, so the contoured support that’s received is very custom-molded to the exact needs.;The outsole of the Brooks Hyperion utilizes a rubber material that’s durable enough to responsibly shield the rest of the sole unit from abrasion or wear. It adds more cushioning, as well. Propulsion pods made from this rubber material cause the foot to spring forward when running, essentially encouraging better toe-offs.;","The Hyperion from Brooks has a standard running shoe length. It comes in sizes that adhere to the regular measurements for men and women. The heel, midfoot and forefoot sections have medium widths, so it is able to accommodate the runner with medium sized feet. Its semi-curved shape follows the natural curvature of the human foot.","Blown Rubber is the protective layer that functions on the outsole unit of the Brooks Hyperion. It’s durable and protective, yet it’s responsive enough to add more cushioning to the foot. It doesn’t limit the natural movement of the runner, as well.",This running shoe utilizes a Perforated Stretch Woven Upper in order to provide a comfortable and breathable coverage. The fabrics allow air to provide a well-ventilated running experience.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altra,https://runrepeat.com/altra-lone-peak-3-0-neoshell-mid,Altra Lone Peak 3.0 NeoShell Mid,5,85,63,N,Trail,Neutral,Daily running,$160 ,$100 | 38%,10,0,25,,"A number of users applauded the Polartec NeoShell lining that effectively keeps the foot dry while running on wet condition.;Many testers mentioned that the Lone Peak 3.0 NeoShell Mid has an excellent grip.;Some took note of the comfortable fit and impressive cushioning of the shoe.;The outsole of the Lone Peak 3.0 NeoShell Mid is durable, as noted in some reviews.;The TrailClaw outsole delivers an exceptional traction on varied surfaces.;Several Altra fans liked the roomy toe box of the Lone Peak 3.0 NeoShell Mid.;",Few users noticed that the upper was not breathable due to the abrasion-resistant waterproof mesh.;The men’s version is quite heavy.;One runner disliked the thick tongue and over-padded collar.;It is expensive.;,"The Altra Lone Peak 3.0 NeoShell Mid is a trail running shoe designed for extreme weather conditions. It provides a perfect blend of traction, comfort, support and stability. This shoe will not disappoint while running both uphill and downhill.Few users noticed that the upper was not breathable due to the abrasion-resistant waterproof mesh.;The men’s version is quite heavy.;One runner disliked the thick tongue and over-padded collar.;It is expensive.;",4.1 / 5 based on 63 ratings,"How popular is Altra Lone Peak 3.0 NeoShell Mid in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #284 most popular running shoes.",62%,11%,11%,8%,8%,The Lone Peak 3.0 NeoShell Mid features the new Altra MaxTrac Sticky Rubber with TrailClaw. It is designed to deliver incredible grip and durability in varied terrains.;The shoe also comes with a reinforced toe cap that gives enhanced toe protection while running on the trail.;,"The Lone Peak 3.0 NeoShell Mid is true to its size. It has a medium fit in the heel, midfoot and forefoot. The toe box is wide enough for the toes to move freely. It comfortably accommodates medium and wide-footed runners. It is available in standard D and B widths.",The Altra Lone Peak 3.0 NeoShell Mid utilizes the AltraMax sticky rubber compound that is engineered to deliver reliable traction and durability on multiple terrains. The TrailClaw lugs strategically located under metatarsals gives added traction whenever necessary.,The upper of the Altra Lone Peak 3.0 NeoShell Mid uses the abrasion-resistant mesh that is designed to deliver breathability and comfortable foot environment. The Polartec NeoShell lining is added to keeping the foot dry even on wet conditions. The shoe also comes with a velcro gaiter attachment that prevents debris from entering the shoe.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
